23/07 09:02:18:726 Command Routing started
23/07 09:02:18:790 Starting process session
23/07 15:05:19:385 Command Routing started
23/07 15:05:19:498 Starting process session
23/07 15:11:49:921 Command Routing started
23/07 15:11:49:962 Starting process session
23/07 15:13:10:231 Command Routing started
23/07 15:13:10:293 Starting process session
23/07 15:13:40:565 Command Routing started
23/07 15:13:40:601 Starting process session
23/07 15:14:20:877 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:878 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:879 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:930 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:931 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:932 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:934 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:935 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:936 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:937 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:938 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:949 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:950 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:951 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:952 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:953 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:954 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:955 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:956 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:977 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:978 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:979 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:980 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:981 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:982 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:987 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:20:988 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:039 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:053 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:054 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:055 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:056 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:057 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:058 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:059 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:060 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:061 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:062 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:063 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:064 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:065 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:066 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:067 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:078 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:079 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:080 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:081 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:082 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:083 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:084 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:085 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:148 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:156 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:157 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:158 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:159 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:160 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:161 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:162 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:163 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:164 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:165 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:166 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:167 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:168 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:169 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:170 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:181 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:182 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:183 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:184 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:185 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:186 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:187 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:188 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:249 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:250 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:261 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:262 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:263 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:264 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:265 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:266 84967289993: VT8X26 - VT8X26.SENDSMS
